pubchem_cid	protein	docking_score
24775005	tmprss2	-8.50
68873	protease	-7.50
68873	polymerase	-8.60
68873	papainlike	-7.70
68873	ace2	-9.10
68873	spike_rbd	-8.20
68873	nucleocapsid	-9.70
68873	tmprss2	-8.50
16362	protease	-8.30
16362	polymerase	-9.30
16362	papainlike	-8.80
16362	ace2	-8.80
16362	spike_rbd	-7.80
16362	nucleocapsid	-10.10
16362	tmprss2	-8.70
12854713	protease	-7.70
12854713	polymerase	-8.10
12854713	papainlike	-8.10
12854713	ace2	-8.90
12854713	spike_rbd	-7.90
12854713	nucleocapsid	-9.60
12854713	tmprss2	-7.60
9802545	protease	-7.70
9802545	polymerase	-8.90
9802545	papainlike	-8.60
9802545	ace2	-9.50
9802545	spike_rbd	-8.50
9802545	nucleocapsid	-10.30
9802545	tmprss2	-8.20
60150249	protease	-7.90
60150249	polymerase	-10.00
60150249	papainlike	-7.70
60150249	ace2	-9.50
60150249	spike_rbd	-8.30
60150249	nucleocapsid	-10.10
60150249	tmprss2	-7.80
3002977	protease	-8.70
3002977	polymerase	-8.60
3002977	papainlike	-8.10
3002977	ace2	-9.40
3002977	spike_rbd	-7.80
3002977	nucleocapsid	-10.10
3002977	tmprss2	-8.30
5362440	protease	-8.20
5362440	polymerase	-8.60
5362440	papainlike	-7.30
5362440	ace2	-9.60
5362440	spike_rbd	-7.90
5362440	nucleocapsid	-9.90
5362440	tmprss2	-8.10
11250029	protease	-8.80
11250029	polymerase	-8.40
11250029	papainlike	-8.00
11250029	ace2	-10.00
11250029	spike_rbd	-8.20
11250029	nucleocapsid	-9.20
11250029	tmprss2	-9.10
42890	protease	-8.30
42890	polymerase	-9.10
42890	papainlike	-8.10
42890	ace2	-8.80
42890	spike_rbd	-8.90
42890	nucleocapsid	-9.30
42890	tmprss2	-7.70
66828839	protease	-9.70
66828839	polymerase	-9.50
66828839	papainlike	-8.60
66828839	ace2	-10.50
66828839	spike_rbd	-9.90
66828839	nucleocapsid	-11.20
66828839	tmprss2	-8.70
6436173	protease	-8.40
6436173	polymerase	-9.10
6436173	papainlike	-7.00
6436173	ace2	-9.10
6436173	spike_rbd	-7.60
6436173	nucleocapsid	-8.90
6436173	tmprss2	-7.80
24821094	protease	-8.30
24821094	polymerase	-9.00
24821094	papainlike	-8.10
24821094	ace2	-9.60
24821094	spike_rbd	-8.10
24821094	nucleocapsid	-10.50
24821094	tmprss2	-8.50
2713	protease	-7.90
2713	polymerase	-7.60
2713	papainlike	-7.50
2713	ace2	-9.30
2713	spike_rbd	-8.60
2713	nucleocapsid	-10.00
2713	tmprss2	-8.30
11354606	protease	-8.50
11354606	polymerase	-9.70
